          age       sex       bmi        bp        s1        s2        s3        s4        s5        s6        dp
age  1.000000  0.173737  0.185085  0.335427  0.260061  0.219243 -0.075181  0.203841  0.270777  0.301731  0.187889
sex  0.173737  1.000000  0.088161  0.241013  0.035277  0.142637 -0.379090  0.332115  0.149918  0.208133  0.043062
bmi  0.185085  0.088161  1.000000  0.395415  0.249777  0.261170 -0.366811  0.413807  0.446159  0.388680  0.586450
bp   0.335427  0.241013  0.395415  1.000000  0.242470  0.185558 -0.178761  0.257653  0.393478  0.390429  0.441484
s1   0.260061  0.035277  0.249777  0.242470  1.000000  0.896663  0.051519  0.542207  0.515501  0.325717  0.212022
s2   0.219243  0.142637  0.261170  0.185558  0.896663  1.000000 -0.196455  0.659817  0.318353  0.290600  0.174054
s3  -0.075181 -0.379090 -0.366811 -0.178761  0.051519 -0.196455  1.000000 -0.738493 -0.398577 -0.273697 -0.394789
s4   0.203841  0.332115  0.413807  0.257653  0.542207  0.659817 -0.738493  1.000000  0.617857  0.417212  0.430453
s5   0.270777  0.149918  0.446159  0.393478  0.515501  0.318353 -0.398577  0.617857  1.000000  0.464670  0.565883
s6   0.301731  0.208133  0.388680  0.390429  0.325717  0.290600 -0.273697  0.417212  0.464670  1.000000  0.382483
dp   0.187889  0.043062  0.586450  0.441484  0.212022  0.174054 -0.394789  0.430453  0.565883  0.382483  1.000000
